Down;Water;Shore0;Shore90;Shore180;Shore270;ShoreIB0;ShoreIB90;ShoreIB180;ShoreIB270;ShoreOB0;ShoreOB90;ShoreOB180;ShoreOB270;Grass;Slope0;Slope90;Slope180;Slope270;SlopeIB0;SlopeIB90;SlopeIB180;SlopeIB270;SlopeOB0;SlopeOB90;SlopeOB180;SlopeOB270;Hill;
SlopeIB180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;
SlopeIB270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;
SlopeOB0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;
SlopeOB90;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;
SlopeOB180;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;
SlopeOB270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;
Hill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Up;Water;Shore0;Shore90;Shore180;Shore270;ShoreIB0;ShoreIB90;ShoreIB180;ShoreIB270;ShoreOB0;ShoreOB90;ShoreOB180;ShoreOB270;Grass;Slope0;Slope90;Slope180;Slope270;SlopeIB0;SlopeIB90;SlopeIB180;SlopeIB270;SlopeOB0;SlopeOB90;SlopeOB180;SlopeOB270;Hill;
Water;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Shore0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Shore90;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2
Shore180;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;4
Shore270;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ShoreIB0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ShoreIB90;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;
ShoreIB180;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;
ShoreIB270;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
ShoreOB0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ShoreOB90;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2
ShoreOB180;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ShoreOB270;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Grass;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;4
Slope0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;4
Slope90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;5
Slope180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0;1;0;0;0;1;6
Slope270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;7
SlopeIB0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;5
SlopeIB90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0;1;0;0;0;1;6
SlopeIB180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0;1;0;0;0;1;6
SlopeIB270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;7
SlopeOB0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;4
SlopeOB90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;5
SlopeOB180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;7
SlopeOB270;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;4
Hill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0;1;0;0;0;1;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Left;Water;Shore0;Shore90;Shore180;Shore270;ShoreIB0;ShoreIB90;ShoreIB180;ShoreIB270;ShoreOB0;ShoreOB90;ShoreOB180;ShoreOB270;Grass;Slope0;Slope90;Slope180;Slope270;SlopeIB0;SlopeIB90;SlopeIB180;SlopeIB270;SlopeOB0;SlopeOB90;SlopeOB180;SlopeOB270;Hill;
Water;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Shore0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Shore90;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Shore180;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Shore270;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
ShoreIB0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ShoreIB90;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ShoreIB180;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
ShoreIB270;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
ShoreOB0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ShoreOB90;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ShoreOB180;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ShoreOB270;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Grass;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
Slope0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;5
Slope90;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
Slope180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;6
Slope270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;7
SlopeIB0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;5
SlopeIB90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;6
SlopeIB180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;7
SlopeIB270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;7
SlopeOB0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
SlopeOB90;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;4
SlopeOB180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;6
SlopeOB270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;5
Hill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Right;Water;Shore0;Shore90;Shore180;Shore270;ShoreIB0;ShoreIB90;ShoreIB180;ShoreIB270;ShoreOB0;ShoreOB90;ShoreOB180;ShoreOB270;Grass;Slope0;Slope90;Slope180;Slope270;SlopeIB0;SlopeIB90;SlopeIB180;SlopeIB270;SlopeOB0;SlopeOB90;SlopeOB180;SlopeOB270;Hill;
Water;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Shore0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Shore90;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
Shore180;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Shore270;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ShoreIB0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ShoreIB90;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ShoreIB180;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
ShoreIB270;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
ShoreOB0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
ShoreOB90;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
ShoreOB180;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ShoreOB270;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Grass;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
Slope0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;5
Slope90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;6
Slope180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;7
Slope270;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
SlopeIB0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;6
SlopeIB90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;6
SlopeIB180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;7
SlopeIB270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;5
SlopeOB0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;5
SlopeOB90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;7
SlopeOB180;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
SlopeOB270;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;3
Hill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;6
